Standard Name,Clause Number,Clause Title,Clause Description
ECC - 1 : 2018,3-1-3-1,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),Ensuring the continuity of cybersecurity systems and procedures.
ECC - 1 : 2018,3-1-3-2,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),Developing response plans for cybersecurity incidents that may affect the business continuity.
ECC - 1 : 2018,3-1-3-3,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),Developing disaster recovery plans.
ECC - 1 : 2018,3/1/2004,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),The cybersecurity requirements for business continuity management must be reviewed periodically.
ECC - 1 : 2018,1-Apr,Third-Party Cybersecurity,"To ensure the protection of assets against the cybersecurity risks related to third-parties including outsourcing and managed services as per organizational policies and procedures, and related laws and regulations."
ECC - 1 : 2018,4/1/2001,Third-Party Cybersecurity,"Cybersecurity requirements for contracts and agreements with third-parties must be identified, documented and approved."
ECC - 1 : 2018,4/1/2002,Third-Party Cybersecurity,"The cybersecurity requirements for contracts and agreements with third-parties (e.g., Service Level Agreement (SLA)) -which may affect, if impacted, the organization’s data or services- must include at least the following:"
ECC - 1 : 2018,4-1-2-1,Third-Party Cybersecurity,Non-disclosure clauses and secure removal of organization’s data by third parties upon end of service.
ECC - 1 : 2018,4-1-2-2,Third-Party Cybersecurity,Communication procedures in case of cybersecurity incidents.
ECC - 1 : 2018,4-1-2-3,Third-Party Cybersecurity,"Requirements for third-parties to comply with related organizational policies and procedures, laws and regulations."
ECC - 1 : 2018,4/1/2003,Third-Party Cybersecurity,The cybersecurity requirements for contracts and agreements with IT outsourcing and managed services third-parties must include at least the following:
ECC - 1 : 2018,4-1-3-1 ,Third-Party Cybersecurity,Conducting a cybersecurity risk assessment to ensure the availability of risk mitigation controls before signing contracts and agreements or upon changes in related regulatory requirements.
ECC - 1 : 2018,4-1-3-2,Third-Party Cybersecurity,Cybersecurity managed services centers for monitoring and operations must be completely present inside the Kingdom of Saudi Arabia.
ECC - 1 : 2018,4/1/2004,Third-Party Cybersecurity,The cybersecurity requirements for contracts and agreements with third-parties must be reviewed periodically.
ECC - 1 : 2018,2-Apr,Cloud Computing and Hosting Cybersecurity,"To ensure the proper and efficient remediation of cyber risks and the implementation of cybersecurity requirements related to hosting and cloud computing as per organizational policies and procedures, and related laws and regulations. It is also to ensure the protection of the organization’s information and technology assets hosted on the cloud or processed/managed by third-parties."
ECC - 1 : 2018,4/2/2001,Cloud Computing and Hosting Cybersecurity,"Cybersecurity requirements related to the use of hosting and cloud computing services must be defined, documented and approved."
ECC - 1 : 2018,4/2/2002,Cloud Computing and Hosting Cybersecurity,The cybersecurity requirements related to the use of hosting and cloud computing services must be implemented.
ECC - 1 : 2018,4/2/2003,Cloud Computing and Hosting Cybersecurity,"In line with related and applicable laws and regulations, and in addition to the applicable ECC controls from main domains (1), (2), (3) and subdomain (4-1), the cybersecurity requirements related to the use of hosting and cloud computing services must include at least the following:"
ECC - 1 : 2018,4-2-3-1,Cloud Computing and Hosting Cybersecurity,Classification of data prior to hosting on cloud or hosting services and returning data (in a usable format) upon service completion.
ECC - 1 : 2018,4-2-3-2,Cloud Computing and Hosting Cybersecurity,Separation of organization’s environments (specifically virtual servers) from other environments hosted at the cloud service provider.
ECC - 1 : 2018,4-2-3-3,Cloud Computing and Hosting Cybersecurity,Organization’s information hosting and storage must be inside the Kingdom of Saudi Arabia.
ECC - 1 : 2018,4/2/2004,Cloud Computing and Hosting Cybersecurity,The cybersecurity requirements related to the use of hosting and cloud computing services must be reviewed periodically.
ECC - 1 : 2018,1-May,Industrial Control Systems (ICS) Protection,"To ensure the appropriate and effective cybersecurity management of Industrial Controls Systems and Operational Technology (ICS/OT) to protect the confidentiality, integrity and availability of the organization’s assets against cyber attacks (e.g., unauthorized access, destruction, spying and fraud) in line with the organization’s cybersecurity strategy and related and applicable local and international laws and regulations."
ECC - 1 : 2018,5/1/2001,Industrial Control Systems (ICS) Protection,"Cybersecurity requirements related to Industrial Controls Systems and Operational Technology (ICS/OT) must be defined, documented and approved."
ECC - 1 : 2018,5/1/2002,Industrial Control Systems (ICS) Protection,The cybersecurity requirements related to Industrial Controls Systems and Operational Technology (ICS/OT) must be implemented.
ECC - 1 : 2018,5/1/2003,Industrial Control Systems (ICS) Protection,"In addition to the applicable ECC controls from the main domains (1), (2), (3) and (4), the cybersecurity requirements related to Industrial Controls Systems and Operational Technology (ICS/OT) must include at least the following:"
ECC - 1 : 2018,5-1-3-1 ,Industrial Control Systems (ICS) Protection,"Strict physical and virtual segmentation when connecting industrial production networks to other networks within the organization (e.g., corporate network)."
ECC - 1 : 2018,5-1-3-2,Industrial Control Systems (ICS) Protection,"Strict physical and virtual segmentation when connecting systems and industrial networks with external networks (e.g., Internet, wireless, remote access)."
ECC - 1 : 2018,5-1-3-3,Industrial Control Systems (ICS) Protection,Continuous monitoring and activation of cybersecurity event logs on the industrial networks and its connections.
ECC - 1 : 2018,5-1-3-4,Industrial Control Systems (ICS) Protection,Isolation of Safety Instrumental Systems (SIS).
ECC - 1 : 2018,5-1-3-5,Industrial Control Systems (ICS) Protection,Strict limitation on the use of external storage media.
ECC - 1 : 2018,5-1-3-6,Industrial Control Systems (ICS) Protection,Strict limitation on connecting mobile devices to industrial production networks.
ECC - 1 : 2018,5-1-3-7,Industrial Control Systems (ICS) Protection,"Periodic review and secure configuration and hardening of industrial, automated, support systems, and devices"
ECC - 1 : 2018,5-1-3-8,Industrial Control Systems (ICS) Protection,Vulnerability management for industrial control systems and operational technology (ICS/OT).
ECC - 1 : 2018,5-1-3-9,Industrial Control Systems (ICS) Protection,Patch management for industrial control systems and operational technology (ICS/OT).
ECC - 1 : 2018,5-1-3-10,Industrial Control Systems (ICS) Protection,Cybersecurity applications management related to the protection of the industrial systems from viruses and malware.
ECC - 1 : 2018,5/1/2004,Industrial Control Systems (ICS) Protection,The cybersecurity requirements related to Industrial Controls Systems and Operational Technology (ICS/OT) must be reviewed periodically.
